id_partido;nombre_partido;partido_torneo;IdLiga;torneo;temporada;descripcion_partido;EquipoLocal;EquipoVisitante;GolLocal;fecha_torneo;GolVisitante;espectadores;fecha_hora_partido;fecha_partido;hora_partido;fecha_hora_partido;Id_EquipoLocal;Id_EquipoVisitante;estadio;pais;ciudad;poster_partido;imagen_partido;partido_fanart;partido_thumb;partido_banner;partido_video;estado_partido;partido_pospuesto
508757;Leicester vs Swansea;English Premier League 2016-08-27 Leicester vs Swansea;4328;English Premier League;2016-2017;;Leicester;Swansea;2;3;1;0;;27/8/2016;14:00:00+00:00;;133626;133614;;;;;;;;;;;no
508758;Hull vs Man United;English Premier League 2016-08-27 Hull vs Manchester United;4328;English Premier League;2016-2017;;Hull;Manchester United;0;3;1;0;;27/8/2016;16:30:00+00:00;;133617;133612;;;;;;;;;;;no
508759;West Brom vs Middlesbrough;English Premier League 2016-08-28 West Brom vs Middlesbrough;4328;English Premier League;2016-2017;;West Brom;Middlesbrough;0;3;0;0;;28/8/2016;12:30:00+00:00;;133611;133628;;;;;;;;;;;no
508760;Man City vs West Ham;English Premier League 2016-08-28 Manchester City vs West Ham;4328;English Premier League;2016-2017;;Manchester City;West Ham;3;3;1;0;;28/8/2016;15:00:00+00:00;;133613;133636;;;;;;;;;;;no
508761;Man United vs Man City;English Premier League 2016-09-10 Manchester United vs Manchester City;4328;English Premier League;2016-2017;;Manchester United;Manchester City;1;4;2;0;;10/9/2016;11:30:00+00:00;;133612;133613;;;;https://www.thesportsdb.com/images/media/event/poster/3i3qdg1512743806.jpg;;;;;;;no
508762;Middlesbrough vs Crystal Palace;English Premier League 2016-09-10 Middlesbrough vs Crystal Palace;4328;English Premier League;2016-2017;;Middlesbrough;Crystal Palace;1;4;2;0;;10/9/2016;14:00:00+00:00;;133628;133632;;;;;;;;;;;no
508763;Stoke vs Tottenham;English Premier League 2016-09-10 Stoke vs Tottenham;4328;English Premier League;2016-2017;;Stoke;Tottenham;0;4;4;0;;10/9/2016;14:00:00+00:00;;133609;133616;;;;;;;;;;;no
508764;Bournemouth vs West Brom;English Premier League 2016-09-10 Bournemouth vs West Brom;4328;English Premier League;2016-2017;;Bournemouth;West Brom;1;4;0;0;;10/9/2016;14:00:00+00:00;;134301;133611;;;;;;;;;;;no
508765;Burnley vs Hull;English Premier League 2016-09-10 Burnley vs Hull;4328;English Premier League;2016-2017;;Burnley;Hull;1;4;1;0;;10/9/2016;14:00:00+00:00;;133623;133617;;;;;;;;;;;no
508766;Arsenal vs Southampton;English Premier League 2016-09-10 Arsenal vs Southampton;4328;English Premier League;2016-2017;;Arsenal;Southampton;2;4;1;0;;10/9/2016;14:00:00+00:00;;133604;134778;;;;;;;;;;;no
